Occupation,Number,Salary
"Physicians And Surgeons, All Other",5430,226391
Financial Managers,1891,177927
Lawyers,1967,172165
"Health Specialties Teachers, Postsecondary",2314,165767
Computer And Information Systems Managers,9449,161977
Architectural And Engineering Managers,1866,158846
Marketing Managers,3002,150619
General And Operations Managers,1679,139900
Computer And Information Research Scientists,4407,133520
"Business Teachers, Postsecondary",1405,133397
Computer Hardware Engineers,1469,130771
Sales Engineers,2895,122383
"Software Developers, Systems Software",31721,121738
"Electronics Engineers, Except Computer",6487,119018
Economists,1376,118809
Financial Analysts,9817,116232
Information Security Analysts,4795,109867
Computer Network Architects,3221,109011
Management Analysts,10279,107389
"Software Developers, Applications",216525,107379
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,