City,Salary,Number,Latitude,Longitude
New York,117878,40501,33.748188,-84.390865
San Francisco,135091,19769,37.779379,-122.418433
Chicago,97564,13452,41.883718,-87.632382
Sunnyvale,132485,12472,37.371428,122.038679
Seattle,125959,12334,47.603776,-122.330765
Houston,98081,11824,29.760376,-95.369805
Atlanta,93850,11821,33.748188,-84.390865
San Jose,126621,11662,32.986312,-96.701263
Austin,102682,9653,30.264264,-97.747502
Mountain View,141767,9625,37.387946,-122.08313
Charlotte,99420,8357,35.221694,-80.839734
Boston,102046,8204,42.360256,-71.057279
Dallas,94548,7755,32.775568,-96.795595
Irving,97407,7605,33.686993,-117.825516
Redmond,122767,7388,47.678587,-122.130312
Plano,97839,7273,33.021829,-96.699255
Santa Clara,131597,6508,37.355742,-121.954982
Phoenix,89847,5880,33.448253,-112.076617
Bellevue,121641,5501,47.614443,-122.19356
Philadelphia,94327,5299,39.952597,-75.165169
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,